year,month,beef,chicken
1980,1,1.06,74.4304
1980,2,1.024,73.1809
1980,3,0.985,69.2943
1980,4,0.967,71.4635
1980,5,0.985,71.6356
1980,6,1.005,73.7072
1980,7,1.067,70.0401
1980,8,1.127,73.9399
1980,9,1.164,74.486
1980,10,1.145,79.1684
1980,11,1.13,73.7853
1980,12,1.141,72.3576
1981,1,1.15,76.9322
1981,2,1.147,76.1137
1981,3,1.128,76.9652
1981,4,1.046,73.4633
1981,5,1.105,73.0688
1981,6,1.101,75.6095
1981,7,1.156,71.2057
1981,8,1.137,76.3009
1981,9,1.124,77.6355
1981,10,1.126,79.579
1981,11,1.109,77.9098
1981,12,1.099,75.9773
1982,1,1.112,79.124
1982,2,1.099,79.0217
1982,3,1.062,75.9634
1982,4,1.029,74.5797
1982,5,1.074,74.9836
1982,6,1.072,79.4102
1982,7,1.102,75.0439
1982,8,1.082,82.4686
1982,9,1.062,84.2917
1982,10,1.061,87.3081
1982,11,1.034,79.791
1982,12,1.042,76.9819
1983,1,1.021,82.4851
1983,2,1.042,77.7218
1983,3,1.052,75.5332
1983,4,1.048,73.0897
1983,5,1.069,76.7992
1983,6,1.02,81.1813
1983,7,1.067,75.9163
1983,8,1.046,83.5648
1983,9,1.05,85.8809
1983,10,1.017,86.576
1983,11,1.006,79.6368
1983,12,1.075,79.3467
1984,1,1.178,79.0589
1984,2,1.259,80.3116
1984,3,1.236,78.7608
1984,4,1.191,77.1402
1984,5,1.155,82.558
1984,6,1.169,84.8368
1984,7,1.173,81.2947
1984,8,1.109,85.3802
1984,9,1.137,85.7538
1984,10,1.092,88.6738
1984,11,1.065,81.6442
1984,12,1.084,79.4876
1985,1,1.131,84.5344
1985,2,1.09,82.359
1985,3,1.079,81.163
1985,4,1.048,82.9354
1985,5,1.065,86.023
1985,6,1.066,86.9359
1985,7,1.094,84.9505
1985,8,1.061,89.4348
1985,9,1.06,89.116
1985,10,1.031,87.0992
1985,11,1.051,79.6754
1985,12,1.142,79.8978
1986,1,1.115,88.5309
1986,2,1.089,83.2158
1986,3,1.037,81.9829
1986,4,1.067,91.1732
1986,5,1.061,89.4097
1986,6,1.108,91.7202
1986,7,1.194,89.6006
1986,8,1.32,92.4474
1986,9,1.271,89.6932
1986,10,1.221,90.4778
1986,11,1.268,85.0403
1986,12,1.251,83.792
1987,1,1.1945,91.5922
1987,2,1.138,85.0421
1987,3,1.124,85.5591
1987,4,1.119,86.8795
1987,5,1.078,85.5438
1987,6,1.062,88.9575
1987,7,1.053,88.2976
1987,8,1.098,93.7866
1987,9,1.085,93.6229
1987,10,1.07,94.5689
1987,11,1.054,87.9721
1987,12,1.05,85.3465
1988,1,1.029,91.9736
1988,2,0.995,88.4205
1988,3,1.02,85.6774
1988,4,1.026,87.1967
1988,5,1.052,88.942
1988,6,1.142,93.8545
1988,7,1.271,93.726
1988,8,1.297,95.9717
1988,9,1.256,94.2189
1988,10,1.237,94.4433
1988,11,1.199,86.267
1988,12,1.168,84.1549
1989,1,1.176,86.9722
1989,2,1.175,86.9801
1989,3,1.17,82.6903
1989,4,1.196,85.3897
1989,5,1.257,87.4092
1989,6,1.301,92.0644
1989,7,1.268,87.8111
1989,8,1.254,91.5346
1989,9,1.182,89.1566
1989,10,1.208,93.2877
1989,11,1.143,87.2727
1989,12,1.141,85.5945
1990,1,1.125,85.2398
1990,2,1.168,85.6686
1990,3,1.223,84.4323
1990,4,1.159,84.1503
