,,Industrial Production Index: Pork NAICS=311611-3pt.: NSA: 2012 = 100: Monthly
1972,1,48.1157
1972,2,47.846
1972,3,53.7759
1972,4,51.4437
1972,5,47.0564
1972,6,45.8476
1972,7,38.7918
1972,8,43.9631
1972,9,46.0295
1972,10,50.4408
1972,11,51.071
1972,12,46.5159
1973,1,46.1908
1973,2,44.6997
1973,3,46.4695
1973,4,45.0669
1973,5,46.1304
1973,6,42.4323
1973,7,37.0934
1973,8,38.9376
1973,9,41.2603
1973,10,45.9829
1973,11,47.1925
1973,12,44.7517
1974,1,48.0624
1974,2,44.8833
1974,3,48.9116
1974,4,50.0596
1974,5,49.0309
1974,6,45.2861
1974,7,39.1452
1974,8,42.9752
1974,9,46.5456
1974,10,45.8817
1974,11,44.6924
1974,12,42.1995
1975,1,41.0785
1975,2,39.7426
1975,3,37.8806
1975,4,41.6494
1975,5,34.5692
1975,6,35.0395
1975,7,29.6788
1975,8,30.8052
1975,9,34.4219
1975,10,34.5732
1975,11,37.4077
1975,12,37.4302
1976,1,36.9012
1976,2,37.0056
1976,3,42.2724
1976,4,40.7806
1976,5,36.8501
1976,6,37.1339
1976,7,34.478
1976,8,42.5814
1976,9,45.4011
1976,10,50.9261
1976,11,52.7446
1976,12,46.2629
1977,1,43.9776
1977,2,46.457
1977,3,50.7053
1977,4,47.9967
1977,5,43.8343
1977,6,42.9145
1977,7,37.2907
1977,8,43.379
1977,9,47.6313
1977,10,49.667
1977,11,52.584
1977,12,46.1394
1978,1,44.84
1978,2,47.3235
1978,3,48.66
1978,4,50.3351
1978,5,46.8302
1978,6,45.5982
1978,7,43.0637
1978,8,46.4348
1978,9,49.3361
1978,10,52.0939
1978,11,54.9675
1978,12,51.4705
1979,1,49.2888
1979,2,49.0323
1979,3,55.1562
1979,4,58.3051
1979,5,56.8634
1979,6,56.1706
1979,7,55.5084
1979,8,59.0952
1979,9,58.5792
1979,10,67.9656
1979,11,67.1283
1979,12,61.8485
1980,1,63.5643
1980,2,61.3478
1980,3,64.6632
1980,4,69.0957
1980,5,65.607
1980,6,62.2546
1980,7,53.7068
1980,8,55.0562
1980,9,60.4354
1980,10,64.4402
1980,11,64.4721
1980,12,61.8092
1981,1,62.4843
1981,2,60.659
1981,3,64.1524
1981,4,64.1783
1981,5,57.7365
1981,6,54.2349
1981,7,50.497
1981,8,53.6597
1981,9,58.6616
1981,10,62.3623
1981,11,63.2632
1981,12,62.856
1982,1,58.1977
1982,2,56.5681
1982,3,60.536
1982,4,58.7987
1982,5,53.9521
1982,6,55.0166
1982,7,47.9201
1982,8,51.1361
1982,9,52.1756
1982,10,56.3103
1982,11,58.6569
1982,12,53.7061
1983,1,54.8379
1983,2,51.4138
1983,3,57.5342
1983,4,59.0756
1983,5,56.8003
1983,6,57.7079
1983,7,52.6987
1983,8,54.551
1983,9,57.8562
1983,10,64.4521
1983,11,66.8128
1983,12,60.2779
1984,1,56.4015
1984,2,55.6413
1984,3,60.1409
1984,4,59.1969
1984,5,56.7429
1984,6,54.6327
1984,7,48.3117
1984,8,52.4989
1984,9,56.6987
1984,10,63.3797
1984,11,62.197
1984,12,58.5785
1985,1,57.9437
1985,2,56.9067
1985,3,59.4987
1985,4,61.0487
1985,5,60.5038
1985,6,56.9661
1985,7,52.3113
1985,8,56.3391
1985,9,59.3374
1985,10,61.997
1985,11,60.2816
1985,12,57.8007
1986,1,57.8364
1986,2,57.4445
1986,3,58.2938
1986,4,61.6244
1986,5,56.6664
1986,6,53.1891
1986,7,48.9652
1986,8,50.9754
1986,9,54.9213
1986,10,59.8233
1986,11,58.0271
1986,12,57.3445
1987,1,59.9002
1987,2,57.6403
1987,3,60.8185
1987,4,58.3119
1987,5,54.7598
1987,6,54.6028
1987,7,52.4327
1987,8,55.6215
1987,9,62.364
1987,10,67.8558
1987,11,69.9528
1987,12,68.3228
1988,1,65.1584
1988,2,63.4407
1988,3,67.1935
1988,4,66.312
